Average retail price of electricity monthly
https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=0002&endsec=vg&linechart=ELEC.PRICE.NY-ALL.M~ELEC.PRICE.NY-RES.M~ELEC.PRICE.NY-COM.M~ELEC.PRICE.NY-IND.M~ELEC.PRICE.NY-TRA.M&columnchart=ELEC.PRICE.NY-ALL.M&map=ELEC.PRICE.NY-ALL.M&freq=M&start=200101&end=201706&chartindexed=0&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
23:00:37 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,all sectors cents per kilowatthour,residential cents per kilowatthour,commercial cents per kilowatthour,industrial cents per kilowatthour,transportation cents per kilowatthour
Jan 2021,14.7,18.27,14.09,5.56,11.63
Dec 2020,14.58,18.23,14.01,5.61,11.72
Nov 2020,14.92,18.92,14.75,5.5,11.98
Oct 2020,15.44,19.28,15.3,5.74,12
Sep 2020,16,18.98,15.98,5.78,12.77
Aug 2020,15.88,18.41,15.8,5.65,12.63
Jul 2020,16.02,18.73,15.81,5.63,12.69
Jun 2020,15.84,19.11,15.67,5.61,13.52
May 2020,14.54,18.53,13.86,5.35,10.98
Apr 2020,13.64,17.33,13.23,5.33,12.28
Mar 2020,13.65,17.17,13.32,5.27,11.89
Feb 2020,13.68,17.42,13.2,5.33,11.39
Jan 2020,13.85,17.55,13.11,5.4,11.87
Dec 2019,13.83,17.33,13.37,5.44,11.88
Nov 2019,13.8,18.01,13.44,5.46,12.06
Oct 2019,14.65,18.58,14.6,5.6,12.5
Sep 2019,15.52,18.72,15.71,5.77,12.87
Aug 2019,15.4,18.38,15.24,5.77,12.39
Jul 2019,15.39,18.64,15.27,5.72,12.73
Jun 2019,14.77,18.53,14.82,5.36,12.83
May 2019,13.77,17.35,13.37,5.78,12.34
Apr 2019,13.48,17.54,13.13,5.49,11.84
Mar 2019,13.38,16.85,12.93,5.55,11.63
Feb 2019,13.8,17.65,13.14,5.68,12.43
Jan 2019,13.64,17.3,13,5.73,11.93
Dec 2018,13.55,17.33,13.12,5.6,12.1
Nov 2018,14.12,18.17,13.77,5.75,11.98
Oct 2018,15.2,19.29,14.96,6.03,12.07
Sep 2018,16.04,19.28,16.05,6.03,12.95
Aug 2018,15.73,19.02,15.5,6.08,11.54
Jul 2018,16.15,19.37,16.02,6.25,13.17
Jun 2018,15.41,19.28,15.09,5.99,13.45
May 2018,14.26,18.51,13.69,6.5,12.12
Apr 2018,13.82,17.98,13.34,5.56,12.12
Mar 2018,13.79,17.52,13.36,5.47,12.24
Feb 2018,14.35,18.19,13.69,6.6,12.41
Jan 2018,14.68,17.75,14.51,6.36,10.36
Dec 2017,13.71,16.99,13.46,5.85,12.21
Nov 2017,14,17.8,13.91,5.76,12.21
Oct 2017,15.02,18.74,15.02,6.15,12.53
Sep 2017,15.73,18.8,16.13,6.19,13.36
Aug 2017,15.72,18.56,15.95,6.2,13.69
Jul 2017,15.91,18.79,16.1,5.92,13.61
Jun 2017,15.65,18.74,15.96,6.11,13.77
May 2017,14.61,18.53,14.54,6.2,12.85
Apr 2017,13.76,17.3,13.78,5.87,11.92
Mar 2017,14.16,17.02,14.2,5.87,12.14
Feb 2017,13.77,17.48,13.42,4.98,11.92
Jan 2017,14.19,17.3,13.88,5.87,11.9
Dec 2016,13.93,17.17,13.75,5.83,11.95
Nov 2016,14.13,17.73,13.99,6.59,11.23
Oct 2016,14.81,18.26,14.85,5.95,11.84
Sep 2016,15.63,18.36,15.76,6.18,12.78
Aug 2016,15.51,17.99,15.56,6.28,13.02
Jul 2016,15.37,17.93,15.66,5.59,12.55
Jun 2016,14.95,17.87,15.1,6.7,12.54
May 2016,13.74,17.71,13.57,5.72,11.47
Apr 2016,13.8,17.38,13.77,5.94,11.8
Mar 2016,13.67,16.79,13.54,5.97,11.59
Feb 2016,13.71,16.76,13.57,6.08,11.71
Jan 2016,13.55,16.56,13.41,5.51,12.11
Dec 2015,14.09,17.5,13.91,5.72,12.58
Nov 2015,14.19,18.23,14.04,5.87,12.14
Oct 2015,15.08,18.3,15.33,6.3,12.73
Sep 2015,15.79,18.38,16.13,6.53,13.38
Aug 2015,15.76,18.38,15.96,6.33,13.4
Jul 2015,15.91,18.71,16.2,6.25,13.38
Jun 2015,15.45,18.76,16.29,6.01,13.64
May 2015,14.72,18.06,14.51,5.76,12.2
Apr 2015,14.39,17.72,14.46,6.31,12.35
Mar 2015,15.91,18.92,15.81,7.51,12.68
Feb 2015,16.07,19.75,15.73,6.85,13.14
Jan 2015,15.36,19.28,14.68,6.24,13.72
Dec 2014,15.38,19.26,14.89,6.17,13.59
Nov 2014,15.34,19.45,15.29,6.24,12.55
Oct 2014,15.59,19.43,15.84,6.09,13.48
Sep 2014,16.38,19.41,16.82,6.47,15.04
Aug 2014,16.27,19.51,16.37,6.42,14.2
Jul 2014,16.89,20.48,16.78,6.47,14.32
Jun 2014,16.51,20.88,16.4,6.33,14.23
May 2014,15.47,20.59,15.05,5.93,13.24
Apr 2014,15.29,19.54,14.91,6.21,13.58
Mar 2014,17.08,20.9,16.84,6.84,13.91
Feb 2014,17.81,21.69,17.48,8.19,13.43
Jan 2014,16.57,19.57,16.4,7.64,14.39
Dec 2013,14.74,18.18,14.45,5.97,12.62
Nov 2013,14.15,18.49,13.76,5.49,13.12
Oct 2013,15.17,18.88,15.36,5.95,13.33
Sep 2013,16.3,19.56,16.62,5.82,14.04
Aug 2013,16.24,19.14,16.38,6.04,14.06
Jul 2013,16.94,20.03,16.75,7.01,14.39
Jun 2013,16.03,19.32,16.05,7.08,14.11
May 2013,14.71,18.35,14.54,6.64,13.67
Apr 2013,14.24,17.67,14.12,6.83,13.16
Mar 2013,15.07,18.16,14.88,7.27,13.07
Feb 2013,15.88,19.1,15.7,7.72,13.86
Jan 2013,15.02,17.93,14.83,7.26,14.37
Dec 2012,14.72,17.47,14.48,6.16,14.12
Nov 2012,14.46,17.44,14.25,6.18,14.68
Oct 2012,15.21,18.44,15.14,6.09,14.07
Sep 2012,16.05,18.52,16.22,6.24,14.96
Aug 2012,15.77,18.12,15.31,7.38,14.71
Jul 2012,16.43,18.38,16.46,7.27,15.03
Jun 2012,15.89,18.31,15.93,7.12,14.61
May 2012,14.69,17.33,14.61,6.71,14.13
Apr 2012,14.39,16.71,14.53,6.68,13.91
Mar 2012,14.35,16.64,14.3,6.84,13.66
Feb 2012,14.34,16.51,14.25,6.75,13.23
Jan 2012,14.64,16.79,14.44,7.07,13.4
Dec 2011,14.72,17.26,14.43,7.24,12.44
Nov 2011,14.92,17.93,14.61,6.94,12.76
Oct 2011,15.79,18.78,15.71,7.4,12.76
Sep 2011,16.64,18.84,16.73,7.37,14.52
Aug 2011,17.11,19.25,17.05,8.36,13.97
Jul 2011,17.2,19.22,17.26,8.09,14.7
Jun 2011,16.79,19.07,17.01,7.87,14.38
May 2011,15.65,18.3,15.58,7.65,14.3
Apr 2011,15.1,17.63,15.09,7.55,12.36
Mar 2011,15.09,17.58,14.8,7.89,13.07
Feb 2011,15.37,17.45,15.18,8.67,13.29
Jan 2011,15.49,17.25,15.4,8.97,13.08
